,researcher,capture_site,fisher,species,ccl_cm,ccw_cm,weight_kg,year_caught,week_caught
133,30,1,1550,5,65.9,63.3,34.7,2008,44
134,30,1,1666,5,70.8,62.7,38.896,2008,44
135,30,1,374,5,70.3,64.9,34.160000000000004,2008,45
136,30,1,120,5,42.3,40.8,9.004000000000001,2008,45
137,30,1,1550,5,70.9,62.4,37.556,2008,45
138,30,1,1666,5,70.7,66.2,40.696,2008,46
139,30,1,1666,5,51.0,49.7,16.81,2008,46
140,30,1,1550,5,74.4,67.3,45.215999999999994,2008,46
141,30,1,899,5,70.8,62.6,38.296,2008,47
142,30,1,1550,5,69.9,62.3,37.995999999999995,2008,48
143,30,1,1666,5,69.3,64.4,37.614,2008,49
144,30,1,1666,5,69.1,62.7,38.682,2008,50
145,30,1,151,6,43.8,41.4,10.346,2008,52
146,30,1,1879,5,40.5,37.7,7.903999999999999,2009,1
147,30,1,1085,6,34.0,31.6,13.262,2009,3
148,30,1,1085,6,47.8,45.1,13.7,2009,3
149,30,1,1666,5,89.7,83.2,88.9,2009,5
150,30,1,1473,6,50.8,45.9,16.131999999999998,2009,6
151,30,1,120,5,47.9,44.9,12.086,2009,7
152,32,1,1473,6,34.3,31.5,5.134,2009,9
153,30,1,1473,6,39.5,37.9,7.37,2009,12
154,30,1,1666,5,69.9,64.1,40.36,2009,12
155,30,1,603,6,38.8,35.6,6.264,2009,14
156,32,1,230,5,88.8,80.0,82.38,2009,15
157,30,1,1236,5,69.1,64.7,37.614,2009,17
158,30,1,2091,5,45.0,41.5,10.436000000000002,2009,22
159,30,1,1550,6,34.3,32.8,4.398000000000001,2009,23
160,30,1,1473,6,29.2,26.0,8.314,2009,25
161,30,1,1550,5,69.1,64.3,37.614,2009,25
162,30,1,1236,5,51.2,43.8,14.794,2009,25
163,30,1,1236,5,44.8,43.4,10.58,2009,25
164,30,1,1473,6,40.1,39.9,8.803999999999998,2009,27
165,20,1,1473,5,42.6,39.5,8.876000000000001,2009,27
166,20,1,1473,6,32.6,32.0,4.088,2009,28
167,20,1,1666,5,42.0,43.2,9.456,2009,29
168,30,1,1666,6,40.8,39.1,8.202,2009,29
169,30,1,1473,6,31.4,29.3,3.5479999999999996,2009,30
170,30,1,1236,6,37.7,33.6,5.51,2009,30
171,30,1,1236,5,71.2,63.0,41.5,2009,30
172,30,1,306,5,41.6,37.8,8.926,2009,31
173,30,1,1236,6,32.5,31.4,4.25,2009,33
174,1,1,1473,6,35.0,32.1,4.936,2009,34
175,20,1,1473,6,34.4,30.9,4.747999999999999,2009,40
176,20,1,1473,6,34.9,30.2,4.392,2009,40
177,20,1,1349,5,42.6,41.1,9.89,2009,41
178,20,1,818,5,41.1,37.7,8.146,2009,42
179,20,1,818,6,36.1,31.2,6.164,2009,43
180,32,1,818,6,44.0,37.0,8.437999999999999,2009,44
181,20,1,863,6,36.2,33.4,5.546,2009,47
182,20,1,603,5,42.7,42.4,9.862,2009,48
183,20,1,818,6,34.4,30.1,5.534000000000001,2009,48
184,32,1,818,5,40.7,38.2,8.112,2009,48
185,20,1,1897,5,37.4,35.5,6.590000000000001,2009,49
186,20,1,1349,5,49.9,45.5,15.107999999999999,2010,1
187,20,1,1690,6,43.4,38.4,9.022,2010,1
188,30,1,1700,5,36.1,35.7,6.562,2010,1
189,20,1,1303,6,35.7,34.4,5.5600000000000005,2010,3
190,20,1,1287,6,36.4,34.4,5.6899999999999995,2010,4
191,20,1,74,5,49.7,47.1,14.442000000000002,2010,5
192,20,1,74,5,54.8,46.7,18.0,2010,5
193,30,1,1303,6,41.1,38.3,7.965999999999999,2010,5
194,20,1,1303,5,42.1,40.1,8.516,2010,6
195,20,1,644,5,49.4,48.1,15.278,2010,6
196,20,1,890,6,39.9,38.7,8.196000000000002,2010,7
197,20,1,1106,6,36.0,33.1,5.6579999999999995,2010,7
198,20,1,726,5,43.6,42.3,10.309999999999999,2010,7
199,20,1,855,5,56.9,52.3,23.84,2010,10
200,20,1,1109,5,46.1,44.3,11.540000000000001,2010,11
201,20,1,1109,5,56.9,52.3,23.84,2010,11
202,20,1,1303,6,37.6,37.2,6.17,2010,12
203,20,1,1398,6,44.8,41.2,10.74,2010,12
204,20,1,890,6,30.2,28.2,2.864,2010,12
205,20,1,1806,5,40.7,38.9,8.294,2010,14
206,20,1,818,6,44.6,40.2,15.86,2010,14
207,20,1,1666,6,47.8,44.2,12.99,2010,14
208,20,1,855,5,40.6,38.9,7.664,2010,15
209,20,1,351,6,35.9,32.4,5.545999999999999,2010,16
210,20,1,635,5,49.6,44.7,14.384,2010,16
211,20,1,635,5,53.4,51.0,17.448,2010,16
212,20,1,838,6,60.7,55.1,26.532,2010,17
213,20,1,1491,6,35.3,32.1,4.918,2010,19
214,4,1,1892,6,38.0,37.3,6.0,2010,20
215,20,1,1473,6,36.5,33.4,4.5,2010,21
216,20,1,1303,5,47.6,45.3,12.928,2010,23
217,20,1,351,6,32.2,30.0,4.0,2010,24
218,20,1,890,6,45.8,41.2,9.5,2010,25
219,20,1,603,5,41.9,39.5,8.5,2010,26
220,20,1,351,6,31.1,31.8,4.0,2010,26
221,20,1,1349,5,47.2,45.2,12.0,2010,26
222,20,1,1303,6,33.6,31.6,4.5,2010,27
223,30,1,1349,6,31.4,31.7,4.0,2010,27
224,30,1,1001,5,47.8,41.8,11.5,2010,27
225,20,1,899,6,32.9,30.5,4.0,2010,28
226,20,1,855,6,30.9,29.3,3.5,2010,28
227,20,1,463,6,46.0,42.2,11.5,2010,33
228,20,1,1027,6,32.7,30.6,3.5,2010,35
229,20,1,1349,5,36.1,36.8,6.5,2010,36
230,20,1,351,5,42.4,40.6,10.0,2010,36
231,30,1,930,5,88.5,80.8,85.66,2010,36
232,20,1,818,6,38.7,34.2,7.0,2010,37
233,20,1,818,6,33.9,33.4,5.5,2010,38
234,20,1,1349,6,34.8,33.9,4.5,2010,38
235,20,1,818,5,37.2,37.2,6.5,2010,41
236,20,1,855,6,32.6,30.2,5.0,2010,46
237,20,1,855,6,34.4,32.1,5.5,2010,46
238,20,1,603,6,36.2,34.5,6.0,2010,47
239,20,1,547,5,61.1,58.4,32.5,2010,48
240,20,1,855,5,34.2,33.4,3.2,2010,49
241,30,1,818,6,33.3,30.1,4.25,2010,50
242,20,1,603,6,37.8,37.8,7.5,2010,50
243,20,1,548,5,38.7,37.5,7.0,2010,51
244,20,1,855,5,41.7,40.4,8.0,2011,2
245,20,1,855,6,37.0,35.6,6.5,2011,3
246,30,1,1550,5,54.4,46.2,18.5,2011,6
247,7,1,1550,5,77.7,71.7,52.08,2011,6
248,7,1,92,6,35.6,32.8,4.5,2011,7
249,30,1,855,5,42.6,41.9,8.0,2011,8
250,20,1,1349,6,36.8,34.3,6.0,2011,10
251,20,1,855,5,42.5,42.8,9.0,2011,10
252,30,1,944,5,43.2,40.9,10.0,2011,12
253,20,1,855,6,42.7,40.4,9.0,2011,15
254,20,1,92,6,40.6,36.8,8.0,2011,15
255,20,1,28,5,46.9,44.5,12.5,2011,17
256,20,1,28,5,54.0,48.2,18.0,2011,17
257,20,1,855,6,30.8,29.5,4.0,2011,17
258,20,1,863,5,42.0,41.1,10.5,2011,17
259,20,1,863,5,45.6,42.7,12.5,2011,17
260,20,1,1447,6,39.7,38.5,8.5,2011,19
261,20,1,92,6,38.4,35.3,7.0,2011,21
262,20,1,92,6,33.1,31.3,4.5,2011,21
263,7,1,890,6,32.0,29.5,4.5,2011,22
264,7,1,351,6,55.3,49.5,19.146,2011,22
265,7,1,92,5,28.6,26.9,3.5,2011,22
266,7,1,92,5,37.0,35.3,6.5,2011,23
267,4,1,92,6,34.0,31.5,45.0,2011,24
268,20,1,557,6,37.0,34.8,6.5,2011,25
269,7,1,92,6,32.5,29.9,4.5,2011,25
270,7,1,92,6,41.0,36.1,7.0,2011,25
271,20,1,1027,6,32.0,29.8,4.5,2011,25
272,20,1,818,5,45.1,41.5,11.5,2011,26
273,20,1,557,5,41.2,39.1,8.5,2011,27
274,20,1,818,6,41.7,38.6,8.5,2011,27
275,7,1,557,6,36.8,35.9,5.5,2011,27
276,20,1,855,5,37.5,35.7,7.5,2011,28
277,20,1,151,6,51.0,44.6,14.5,2011,30
278,20,1,818,6,32.5,30.5,4.5,2011,30
279,20,1,1255,5,40.4,39.8,8.5,2011,32
280,20,1,818,6,36.4,35.0,6.0,2011,34
281,20,1,1349,5,43.6,42.4,9.0,2011,36
282,20,1,818,6,36.3,32.6,5.0,2011,37
283,20,1,899,5,37.3,36.7,6.5,2011,37
284,20,1,2091,5,64.5,58.6,30.5,2011,38
285,7,1,1700,6,39.8,39.1,7.0,2011,38
286,20,1,544,6,34.5,32.5,5.0,2011,38
287,20,1,1027,6,33.3,30.5,4.5,2011,40
288,20,1,1027,6,31.2,28.2,3.5,2011,40
289,20,1,557,6,36.0,35.1,6.5,2011,40
290,20,1,1454,6,35.4,35.4,5.5,2011,40
291,20,1,817,6,33.2,32.2,4.5,2011,40
292,30,1,1027,6,36.8,32.3,5.25,2011,40
293,30,1,863,6,38.0,36.1,7.0,2011,40
294,20,1,1027,6,32.4,29.8,4.5,2011,42
295,20,1,1550,5,40.5,36.9,8.0,2011,43
296,20,1,1550,5,54.2,51.9,19.0,2011,43
297,20,1,1550,5,55.0,53.2,21.0,2011,43
298,20,1,1027,6,36.3,33.6,5.0,2011,43
299,20,1,1550,5,99.4,95.4,83.606,2011,43
300,30,1,818,6,32.2,31.2,4.0,2011,44
301,20,1,1242,6,53.6,46.4,15.0,2011,44
302,20,1,560,6,32.6,29.5,4.0,2011,44
303,30,1,1924,6,39.4,34.2,7.5,2011,44
304,20,1,863,6,32.2,29.5,3.55,2011,45
305,20,1,1692,6,37.2,33.0,6.0,2011,46
306,30,1,863,6,37.7,34.4,6.5,2011,46
307,20,1,863,6,36.5,34.5,6.5,2011,47
308,20,1,92,6,41.6,38.4,6.5,2011,47
309,30,1,1879,6,41.1,40.0,8.5,2011,48
310,20,1,92,6,34.0,31.1,4.5,2011,48
311,20,1,92,6,33.3,31.1,4.0,2011,49
312,20,1,873,5,52.1,48.4,17.5,2011,50
313,7,1,92,6,38.3,36.3,8.0,2011,50
314,20,1,351,6,53.3,46.1,16.5,2011,50
315,20,1,1149,6,43.2,37.4,8.0,2011,51
316,20,1,1473,5,47.0,45.3,13.0,2011,51
317,20,1,1473,5,73.1,64.2,41.0,2011,51
318,20,1,1473,5,87.1,80.1,83.06,2011,51
319,20,1,855,6,40.9,39.4,8.0,2011,51
320,20,1,818,5,40.1,37.5,7.0,2011,51
321,20,1,92,5,45.7,44.1,12.0,2011,52
322,20,1,92,5,44.1,42.7,12.0,2012,1
323,7,1,890,5,44.2,43.0,10.0,2012,1
324,7,1,882,5,44.2,43.0,10.0,2012,1
325,7,1,92,6,35.6,34.5,5.5,2012,2
326,20,1,818,6,31.5,29.7,4.0,2012,2
327,20,1,873,6,46.4,41.6,11.0,2012,2
328,20,1,873,5,57.5,54.0,21.0,2012,3
329,7,1,1550,5,74.0,70.0,47.36,2012,3
330,7,1,92,5,46.5,42.9,14.0,2012,3
331,7,1,1550,5,57.3,53.6,21.5,2012,3
332,7,1,1550,5,57.9,55.2,24.5,2012,3
333,20,1,92,6,31.3,30.6,3.5,2012,4
334,20,1,92,5,52.6,50.4,19.5,2012,5
335,20,1,890,6,43.5,41.1,9.5,2012,5
336,7,1,463,6,32.6,30.5,5.5,2012,5
337,20,1,863,6,36.7,35.3,7.0,2012,6
338,20,1,92,6,37.0,34.4,4.5,2012,6
339,20,1,603,6,40.0,37.6,7.5,2012,7
340,20,1,863,6,36.7,35.3,7.0,2012,7
341,7,1,92,5,49.3,45.3,14.5,2012,7
342,20,1,873,5,69.5,63.1,37.5,2012,7
343,7,1,873,5,40.8,40.3,7.0,2012,8
344,7,1,92,6,35.9,41.7,10.0,2012,9
345,7,1,855,6,31.7,30.6,3.5,2012,9
346,7,1,92,5,39.9,37.0,7.0,2012,10
347,7,1,873,6,35.1,32.0,6.0,2012,11
348,7,1,92,6,33.0,30.8,4.5,2012,11
349,7,1,1413,5,56.1,52.3,19.0,2012,11
350,7,1,92,5,49.7,46.3,14.0,2012,11
351,7,1,92,6,39.0,36.7,7.5,2012,12
352,7,1,1085,6,35.7,32.9,5.0,2012,12
353,7,1,873,6,68.5,61.2,37.756,2012,13
354,20,1,873,6,32.9,30.6,4.5,2012,13
355,20,1,873,5,47.6,45.1,14.0,2012,14
356,20,1,92,6,37.4,35.6,6.0,2012,14
357,30,1,92,5,44.5,40.3,11.5,2012,14
358,7,1,92,5,41.4,38.8,10.0,2012,14
359,20,1,855,6,35.9,33.6,6.0,2012,16
360,20,1,92,6,28.0,26.6,3.0,2012,17
361,20,1,92,6,39.6,36.9,8.0,2012,18
362,20,1,873,6,42.2,39.8,10.0,2012,18
363,7,1,92,5,41.0,39.0,8.0,2012,18
364,7,1,92,6,40.6,38.8,9.0,2012,19
365,20,1,92,6,38.0,33.2,6.5,2012,20
366,20,1,92,6,38.5,36.5,7.0,2012,22
367,20,1,92,6,46.4,43.2,11.0,2012,22
368,20,1,873,6,36.7,33.7,6.5,2012,23
369,20,1,873,5,41.3,39.8,9.0,2012,23
370,7,1,1085,5,41.2,41.1,8.0,2012,23
371,20,1,873,6,41.1,38.3,7.5,2012,24
372,20,1,873,6,38.6,35.3,5.5,2012,24
373,20,1,2091,6,36.8,33.5,5.0,2012,24
374,20,1,873,6,44.5,40.4,9.0,2012,25
375,20,1,92,6,40.7,38.3,7.6,2012,26
376,20,1,873,6,37.0,34.1,5.2,2012,26
377,20,1,873,6,40.5,36.2,5.95,2012,26
378,20,1,92,6,55.7,48.4,16.0,2012,28
379,20,1,92,5,37.2,36.6,5.4,2012,28
380,20,1,873,6,45.7,40.3,9.0,2012,28
381,20,1,1550,5,53.7,47.0,17.0,2012,28
382,20,1,873,5,42.6,39.7,9.4,2012,29
383,20,1,873,6,37.0,37.0,6.1,2012,30
384,20,1,855,6,31.6,29.4,3.2,2012,30
385,20,1,761,6,27.7,27.1,2.4,2012,30
386,7,1,818,6,34.0,31.0,3.5,2012,30
387,20,1,92,6,34.4,31.2,4.05,2012,31
388,20,1,863,6,30.2,28.8,3.1,2012,31
389,20,1,92,6,36.0,32.8,4.35,2012,31
390,20,1,873,6,31.5,30.0,3.4,2012,32
391,7,1,1550,5,83.2,81.0,67.0,2012,32
392,20,1,92,6,33.8,32.8,3.5,2012,32
393,20,1,92,6,32.4,30.2,3.8,2012,32
394,7,1,873,6,50.5,46.4,13.8,2012,33
395,20,1,328,6,36.3,34.2,5.2,2012,33
396,20,1,873,6,38.2,36.3,6.4,2012,34
397,20,1,92,6,38.0,36.2,5.3,2012,34
398,20,1,818,6,35.3,33.4,4.9,2012,35
399,20,1,899,6,30.4,29.0,3.3,2012,35
400,20,1,1349,5,44.6,40.3,9.4,2012,35
401,20,1,863,6,34.2,31.2,3.95,2012,36
402,20,1,761,6,54.7,49.7,18.4,2012,36
403,20,1,761,6,49.4,42.9,11.6,2012,36
404,7,1,761,6,49.5,42.9,11.6,2012,36
405,20,1,92,6,42.9,40.8,8.5,2012,36
406,20,1,855,5,56.5,49.0,18.75,2012,37
407,20,1,1550,5,43.2,39.0,9.3,2012,37
408,20,1,855,6,37.5,34.2,4.9,2012,37
409,20,1,873,6,32.8,30.7,3.25,2012,37
410,20,1,92,6,37.7,34.0,5.5,2012,37
411,20,1,873,6,40.8,39.0,8.1,2012,37
412,20,1,1349,5,41.0,38.0,8.5,2012,38
413,20,1,873,5,39.9,37.0,6.9,2012,38
414,20,1,92,6,32.6,31.0,4.1,2012,38
415,7,1,1085,6,40.4,36.0,6.2,2012,39
416,13,1,151,6,35.0,33.0,4.2,2012,39
417,7,1,1479,6,39.5,37.1,6.6,2012,39
418,20,1,1551,5,41.1,39.5,7.75,2012,39
419,20,1,873,6,34.8,32.0,4.6,2012,40
420,20,1,863,6,28.2,26.6,2.05,2012,41
421,20,1,1551,6,40.7,39.1,8.2,2012,41
422,20,1,1700,5,41.6,39.5,7.6,2012,43
423,20,1,92,6,39.0,35.6,6.1,2012,43
424,7,1,859,6,35.4,31.7,5.034000000000001,2012,43
425,7,1,92,6,41.0,38.2,6.7,2012,44
426,20,1,873,5,39.2,38.6,6.8,2012,44
427,20,1,92,5,42.2,42.0,9.15,2012,44
428,20,1,873,6,33.0,31.2,4.15,2012,45
429,20,1,873,6,33.6,31.2,4.4,2012,45
430,30,1,92,6,34.3,31.7,4.65,2012,45
431,20,1,1472,6,35.9,31.5,4.9,2012,46
432,20,1,92,6,45.0,39.5,10.2,2012,46
433,20,1,92,5,41.5,40.0,8.75,2012,46
434,20,1,873,5,44.5,44.2,9.9,2012,47
435,20,1,351,6,30.5,28.6,3.0,2012,47
436,20,1,873,5,83.3,78.7,64.6,2012,47
437,30,1,1550,5,42.7,39.6,9.8,2012,47
438,20,1,1550,6,37.0,34.1,5.0,2012,47
439,20,1,863,6,48.7,45.0,12.0,2012,48
440,20,1,92,5,38.2,36.5,5.8,2012,48
441,20,1,915,6,36.7,34.9,5.9,2012,49
442,20,1,1550,5,122.75,103.5,117.14000000000001,2012,49
443,13,1,873,6,37.35,34.45,5.4,2012,49
444,20,1,818,6,40.0,38.0,6.1,2012,49
445,20,1,1085,6,36.15,34.0,4.5,2012,49
446,30,1,92,5,38.1,38.8,4.5,2012,49
447,13,1,557,5,50.05,47.5,15.45,2012,49
448,13,1,1109,5,51.55,48.4,17.1,2012,49
449,7,1,351,6,39.75,37.55,7.6,2012,51
450,20,1,873,6,43.5,39.8,9.15,2012,51
451,20,1,863,5,38.1,37.5,6.8,2012,1
452,20,1,92,6,33.2,31.2,4.15,2013,1
453,20,1,863,5,40.3,40.5,8.05,2013,1
454,20,1,92,5,60.5,56.9,22.9,2013,2
455,7,1,74,5,55.9,54.1,22.2,2013,2
456,20,1,92,6,51.4,47.5,15.7,2013,4
457,20,1,863,6,41.1,38.7,9.0,2013,4
458,7,1,873,5,39.3,40.0,6.5,2013,6
459,20,1,92,6,40.4,38.1,6.9,2013,6
460,20,1,92,6,39.6,37.0,6.0,2013,6
461,20,1,873,6,37.5,34.8,5.15,2013,6
462,20,1,92,5,47.2,45.3,11.5,2013,7
463,30,1,1879,6,32.7,31.7,4.3,2013,7
464,7,1,873,6,36.9,34.1,5.6,2013,7
465,20,1,873,6,34.5,32.6,5.0,2013,8
466,20,1,92,6,33.0,29.0,3.4,2013,8
467,20,1,1115,6,41.7,37.4,8.2,2013,9
468,20,1,873,5,33.5,34.6,4.9,2013,9
469,20,1,899,6,41.3,39.2,8.6,2013,10
470,20,1,873,6,33.1,31.1,3.6,2013,10
471,20,1,873,6,27.5,26.2,2.5,2013,12
472,7,1,351,6,37.0,34.2,5.65,2013,12
473,7,1,873,6,38.1,35.3,6.3,2013,12
474,20,1,92,6,29.8,28.6,3.1,2013,13
475,20,1,873,5,49.2,48.8,16.85,2013,14
476,20,1,463,6,30.0,27.6,3.1,2013,14
477,20,1,351,6,58.5,52.2,22.3,2013,15
478,20,1,351,6,35.9,32.7,5.05,2013,15
479,20,1,873,6,41.5,40.0,8.35,2013,15
480,7,1,873,5,50.8,47.1,16.25,2013,15
481,20,1,1508,6,31.6,31.5,3.4,2013,16
482,7,1,92,6,29.8,28.4,3.45,2013,17
483,11,1,1508,5,46.0,42.2,10.7,2013,18
484,20,1,885,6,33.1,30.0,4.0,2013,21
485,7,1,151,6,35.7,32.7,5.0,2013,22
486,13,1,1879,6,44.2,42.0,10.2,2013,22
487,30,1,1089,6,35.2,33.5,4.85,2013,22
488,20,1,873,6,56.0,48.2,16.95,2013,23
489,7,1,1085,6,39.8,37.2,7.5,2013,23
490,20,1,873,6,43.9,41.8,10.0,2013,24
491,20,1,92,6,39.5,36.1,8.0,2013,26
492,7,1,92,6,55.5,48.0,17.5,2013,26
493,20,1,92,6,34.8,31.7,5.0,2013,27
494,13,1,1550,6,29.7,27.5,5.0,2013,27
495,7,1,92,6,32.0,30.0,4.0,2013,28
496,20,1,873,5,58.0,54.87,24.5,2013,29
497,20,1,311,6,38.1,35.4,8.5,2013,31
